attraction,attraction_city,mo_yr_posted_final,mo_yr_visited,num_contributions_user,num_helpful_user,num_helpful_votes,rating,rev_text,rev_title,user,user_loc
Central Park,New York City,Feb 2020,November 2019,3,0,0,4,"This is an oasis of culture and nature in an artful park form. Has a lot of diverse and migrating bird life, hidden waterfalls and streams, raccoons and even coyotes. Too many people though as it gets overrun with tourists in the warmer weather. Has two skating rinks, a swimming pool, carousel, theaters, ball fields and live music both programmed and impromptu. It has an obelisk from Egyptian antiquity, a manicured topiary garden and a zoo. How can you outdo that?","Centrl Park, NYC",HeronBleu,"New York City, New York"
Central Park,New York City,Feb 2020,August 2019,4,1,0,5,"Although carefully planned by Frederick Law Olmsted and built on one of the few small communities of African Americans in the NYC area in the 19th century, who were forced to leave, their homes destroyed, the park today seems a rare natural haven. You can truly feel you have communed with nature while exploring and my favorite thing to do there is to go row boating, which I did on a recent birthday. The Boat House is not to be missed!",Best park in the world,MLP,"New York City, New York"
Central Park,New York City,Feb 2020,October 2019,4,0,0,5,"It is the saving grace of a city that has become more of a concrete and steel jungle than ever before. No matter what is happening on the streets around, if you walk a few feet into its boundaries, you're transported into a peaceful oasis, abounding with variety and beauty! Truly unlike any other place on the planet.",Jewel of Manhattan,Joe M,"New York City, New York"
Central Park,New York City,Feb 2020,February 2020,97,38,1,5,"Good walk through the park, worth doing, plenty statues to see and nautre, squirrels and birds galore",Just a walk in the park,KennyMonaghan,"Stevenston, United Kingdom"
Central Park,New York City,Feb 2020,February 2020,42,26,1,5,"Really nice and amazing park there was a guy in the middle park singing off Americas got talent, beautiful sights nice just to stroll through here also the option to to a bit of ice skating too",Sight seeing ,mhh78,"Walsall, United Kingdom"
Central Park,New York City,Feb 2020,January 2020,232,78,1,5,"Central park is a great walk anytime of year. Even in winter the park is special. We watched couples stroll, joggers, bicyclists, and dog walkers. It is nice just to have a place to walk that isn't crowded with shops and people. This is a great place for a long or short break from the city.","Four Seasons in the Park, all a treat!",sisterida,"Onsted, Michigan"
Central Park,New York City,Feb 2020,October 2019,13,13,1,5,"I am by far an outdoorsy person! This place is the perfect place for me to spend every single day! I love nature, and this is what central park does for me. I am from Texas, and I felt right at home here.",LOOOOOOOOOOVE CENTRAL PARK,Lynette M,
Central Park,New York City,Feb 2020,October 2019,2,0,0,4,"We ended up with 2 of the bikes instead of the horse & buggy. They started at $250 for four of us and we got them down to $150. Which still seemed high, but it was an experience. Don't believe everything they tell you, just enjoy the ride and take pictures. We enjoyed it",Tour of Park,Judi S,"Naples, Florida"
Central Park,New York City,Feb 2020,June 2019,11,2,0,5,"Visiting Manhattan cannot be complete without taking a trip to central park, probably the most filmed park in the whole world , one can easily recall the numerous movies that have been shot here and the famous landmarks in and around central park only add to the charm. We had taken a chariot ride through the park and it was a lovely experience watching people playing, relaxing, walking their pets and so many other activities in one spot. It seemed like a whole new world which was so full of life and had so much to offer .",Central park New York,Arjun B,"New Delhi, India"
Central Park,New York City,Feb 2020,July 2019,57,2,0,4,"A nice place to relax and rewind. A good place to visit if you have kids. But if u r the kind who doesn't like to walk much, then this place is not for you. Must wear a pair of sneekers and comfortable clothes during summer to go to this place. Perhaps you could take a horsecart ride or a motor rickshaw ride to cover seeing most areas of the park (if youd prefer not to walk). There is even a zoo inside this park if you want to entertain your kids with. A great huge park in NY city and not to be missed.",A scenic humongous lush green park,m0hanarangans,"Muscat, Oman"
Central Park,New York City,Feb 2020,November 2019,7,8,1,4,Hard to believe this huge park sits in the middle of such a large city. We were there in November so rather chilly & sure it would be more enjoyable when warmer. Still enjoyed the scenery.,Escape from the City,jules19622018,"Caledonia, Minnesota"
Central Park,New York City,Feb 2020,February 2020,106,27,1,5,"We went in early February and even though there wasn't much green on the trees, I highly recommend visiting Central Park. There is so much to see and the walk was amazing!",Beautiful Park- a MUST SEE while in NYC,Fladibug1975,"Melbourne, Florida"
Central Park,New York City,Feb 2020,September 2019,227,54,0,5,"I loved central park! NYC is full of tall buildings, it's nice to have a patch of green and a patch of sky! There's lots of little nooks in the park, such as a little kiddy fair and sheep's meadow - a designated quiet zone.",Green oasis in the big apple,insertnamerighthere,"Singapore, Singapore"
Central Park,New York City,Feb 2020,February 2020,25,34,1,5,My wife and I visited Central Park in February. Its winter season but still beautiful and charming. Everyone walking running. Atmosphere is brilliant in there,Multicultural,Hakkı K,United Kingdom
Central Park,New York City,Feb 2020,October 2019,23,13,1,4,"Read almost to many reviews and it reminds me of my own visit to the great CP. I remember as solo traveler and as young guy alone how much I have enjoyed being in the beautiful scenes of CP. CP no doubt is the real treasure of NYC and it's full of peace and beauty. I hope I could revisit soon... This trip was so amazing that it turned me into a traveller now I am back in my country Pakistan and I'm traveling here all around the country to seek the beauty of nature and to let people know about this part of the world.. People who are reading my text can follow me for more info, you can see my pics of CP on my profile... Thank you America for the great park.",My First Visit at CP,Iqbal Nasir Khan,"Islamabad, Pakistan"
Central Park,New York City,Feb 2020,March 2019,48,10,0,5,In all seasons Central Park is beautiful. In the middle of this concrete jungle is a beautiful park. In the winter it's colder but so photogenic. In the spring and fall it's perfect for walking around. Loved,Must visit CP!,Todd-Visit50,"New York City, New York"
Central Park,New York City,Feb 2020,November 2019,58,12,1,5,"Love central park,every little piece it’s like a memorie from a movie We visit the central park zoo, it’s very small and you can visit in like 30 minute",Like in the movie ,daaayla,"Lugano, Switzerland"
Central Park,New York City,Feb 2020,February 2020,28,20,0,5,"Lovely park, massive in size, could easily spend a full day there if weather had been better. Quite easy to get lost/lose bearings",Green,Michelle O,cote de azur
Central Park,New York City,Feb 2020,February 2020,142,19,0,5,"A bucket list place for New York. Although there’s not much in terms of entertainment, it is somewhere that you must experience during your stay in New York.",A must do!,Oliviamc3,"Colchester, United Kingdom"
Central Park,New York City,Feb 2020,May 2019,27,4,0,5,"Beautiful setting to break away from the noise and bustle of the overbearing city. Exceptionally well taken care of with a huge variety of flora. Wandering around for a while will bring you upon some unexpected sights and events. Also, it's about the only thing in NYC that is both free and free of the smell of urine.",Wonderful parcel of nature in the middle of the concrete jungle ,RMShay,"Pretoria, South Africa"
Central Park,New York City,Feb 2020,February 2020,44,48,2,5,We spent a long time in the park. It was a very cold but sunny day and we walked a few miles. What an amazing place. I’d go there again anytime.,Amazing place,Mary L,"Waltham Abbey, United Kingdom"
Central Park,New York City,Feb 2020,December 2019,69,17,0,5,The one and only Central Park don’t need to say more the name says it all please allow yourself a horse carriage ride it’s to die for and make souvenirs videos pictures memories,Mr Bani ,Mourad B,"Orlando, Florida"
Central Park,New York City,Feb 2020,February 2020,44,27,1,5,Just fab!! Lovely park and super fun ice skating!! Peaceful ness in tbe middle of a concrete jungle. A haven to escape.,Ice Skating is a must!!,Dee Q,"Sandyford, Ireland"
Central Park,New York City,Feb 2020,February 2020,"1,242",265,0,5,Hallett Nature Sanctuary is just that. Open fro. 10am until 6pm....it is a quiet spot to see the GM Plaxa and Bergdorf Goodman buildings and catch some sun. Beautiful. Thank you Halletts.,New view from the hidden park,Stylelust,"New York City, New York"
Central Park,New York City,Feb 2020,February 2020,39,30,1,5,"Loved Central Park , was first place we headed for when we arrived in New York . We got Persuaded to do the tour round the garden by the bike tour guide , and as much as he put price down to $35 each unknown to ourselves we actually had a pass that included this . That being our fault for not checking . Anyway the park is amazing loved every minute of it. Especially when we seen the statue of Robert Burns that we didn’t know was there . Our tour guide done a great job and gave us time to look at famous landmarks. My husband and I strolled along the park another day on our way to the museum. Was a lovely escape from the crowded city and so clean and tidy.",Amazing ,Lisa S,"Ayrshire, United Kingdom"
Central Park,New York City,Feb 2020,February 2020,186,138,0,5,Saturday and Sunday packed with runners at all ages and all shapes. Nice feeling to round the park. On weekends no cars allowed but there are plenty of bikers so keep the running track.,Nice 10K around the park,SHUK71,"London, United Kingdom"
Central Park,New York City,Feb 2020,January 2020,25,13,0,5,We went here and re done Home Alone. We done the steps and the bridge too. Lovely morning spent here and a nice view of The Plaza,Lovely and historic,Tonileigh M,"Middlesbrough, England, United Kingdom"
Central Park,New York City,Feb 2020,February 2020,20,24,1,4,"Considering this is in a large city, Central Park is so peaceful. It’s like you just walked into another world. We only walked a section of it but it goes on forever. You can walk it or you can go by horse and carriage, or you could hire bikes. There are some great statues to view and there are squirrels everywhere and they are very tame. Also seen black squirrels which I have never seen before. Well used but wasn’t overcrowded. Worth a visit for some peace and tranquility.",Peaceful,hjp.07@hotmail.com,
Central Park,New York City,Feb 2020,February 2020,88,27,1,5,We visited central park twice on our visit and we really enjoyed it! It was weird to see such a quiet and beautiful park right next to busy roads! We loved the bird feeding area and looking at all the monuments along our walk. We could have easily spent hours and hours there as there is so much to see and loads of little off the track paths to explore! A must for a little bit of peace and serenity from the busy city!,A little bit of peace and serenity from the busy city!,JessicaS,"Worthing, United Kingdom"
Central Park,New York City,Feb 2020,February 2020,556,46,1,4,"Great day out, need to plan ahead, as it's so big, if you like, rent a bike, more expensive way, bike taxi. So much to see.",Sunny day,PY888,"Barnet, United Kingdom"
Central Park,New York City,Feb 2020,February 2020,4,1,0,5,"We love Central Park during the day. The rocks are a favourite spot to climb. We bring our dog on our NYC visits and it’s his favourite spot to hang out too! The zoo, ice rink and nature are all the right reasons to explore Central Park.",Reprieve,mrsdavies3,"Toronto, Canada"
Central Park,New York City,Feb 2020,February 2020,13,12,1,5,This is an oasis of tranquility in the middle of a buzzing city. It's a great place for a lovely walk during your stay with some amazing characters and vendors. An absolute must visit,Peaceful,Scott M,
Central Park,New York City,Feb 2020,November 2019,385,160,0,5,"Central Park is one of our favourite spaces in New York City and we make an effort to stroll through it every time that we visit NYC. It is simultaneously a beautiful oasis of calm and a centre of activity in the heart of busy Manhattan. While the Park attracts many tourists, particularly near Central Park South, it also is a great way to get a glimpse of New Yorkers relaxing - reading, chatting, strolling, jogging, picnicking, rowing, cycling, playing, dog walking and just people watching. Walking across the Park gives you a vivid sense of the noticeable differences between New Yorkers from the more proper East Side (east of Fifth Avenue) and those from the more relaxed West Side. If you have the opportunity, attending an outdoor concert or theatrical performance in the Park is a memorable experience that will last a lifetime. Strolling its paths, over its bridges and around its lakes, fountains and fields always helps us to put our frenzied visits to NYC in perspective. We highly recommend including Central Park in any visit to NYC.",An Oasis in NYC,Canadianstraveling,"Oakville, Canada"
Central Park,New York City,Feb 2020,February 2020,296,68,1,5,Crazy people running round but sooooo friendly So many film scenes Friends fountain Romantic bridges Calm in a very noisy city,Lots to see ,Sarah D,"Norfolk, United Kingdom"
Central Park,New York City,Feb 2020,November 2019,838,2,2,5,"Beautiful park! We love walking around the lake, it is so relaxing. For more pictures, visit my Instagram (IG: kelledstyle) :-)",So refreshing ,kelledstyle,"Montreal, Canada"
Central Park,New York City,Feb 2020,February 2020,237,40,1,4,Views are spectacular. Tool the kids into the park. Had fresh waffles and ran off there energy in the playground. Lots of things to climb on.,Lots to do,Russ W,"Chatham, Canada"
Central Park,New York City,Feb 2020,February 2020,347,110,1,5,Great way to get away from the city grind even in the winter. Walking and running trails. Plenty to see. Certainly can take a carriage ride but we walked. Plenty of spots to stop and take pictures as well.,Gorgeous views ,Nick C,"Cincinnati, Ohio"
Central Park,New York City,Feb 2020,February 2020,3,1,0,5,"The sun was out but the wind was freezing, managed to walk around the park maybe didn’t see all the sights but 17,000 steps and 2 cocktails in the bar on the green was plenty.",A walk in the park,Avril B,
Central Park,New York City,Feb 2020,February 2020,40,18,0,5,"We had a horse ride around Central Park, then a walk round , what a place, suitable for all . Even saw a black squirrel",Great place to visit,winnie1212,"Kingston-upon-Hull, United Kingdom"
Central Park,New York City,Feb 2020,December 2019,108,54,0,5,Ages from 16 to 70 and we all loved walking around central park at least the half we did walk. Was a lovely fresh sunny day and we strolled around with no real aim just which ever way anyone wanted to go. Joggers cyclists and exercise going on everywhere. Plenty of lakes buildings and little monuments to see . A nice hot dog or flavoured nuts while looking at sites that have appeared in countless films Squirrels everywhere and will eat from your hands. A must see New York site not the hustle and bustle but a calmer cleaner place . We loved it and wish we saw more but ending up leaving the park and calling into a bar and that was that. Really nice place.,A great place to visit,neil a,"Sunderland, United Kingdom"
Central Park,New York City,Feb 2020,February 2020,5,0,0,4,Took a carriage ride through Central Park with NYC Carriage Rides. I enjoyed the beautiful views and the history of the park's evolution. I visited in February but can only imagine how beautiful it would be in the summer.,"Beautiful views, interesting history. Oasis in the City!",Connie J,"Pembroke, Ontario, Canada"
Central Park,New York City,Feb 2020,February 2020,74,26,1,5,"My wife wanted to walk around a visit a few places so we did. The weather wasn't the best, but we had a good time.",Great time seeing statues and places,Jason S,"Edina, Minnesota"
Central Park,New York City,Feb 2020,February 2020,164,33,1,4,A lovely sunny but cold day. Trees are stripped bare of leaves and the views back over thd city are stunning,Winters day walk,Simon B,"Heybridge, United Kingdom"
Central Park,New York City,Feb 2020,February 2020,264,86,2,5,"We had a lovely stroll around central park, learning about some of the history on the way, would be even more beautiful in the summer.",Lovely stroll around the park,4Peas_11,"Andover, United Kingdom"
